Fighter,Date,Win,Weight Class,Gender,Win Difference,Loss Difference,Total Rounds Fought Diff,Height Difference,Reach Difference,Age Difference,Sig. Strike Difference,Sub. Attempt Diff,TD Diff,Weight Difference
Oli Thompson,3/2/2012,0,Heavyweight,MALE,0,0,0,1,0,5,0,0,0,-18
Frankie Edgar,2/25/2012,0,Lightweight,MALE,6,2,28,-3,-2,2,3.87878788,-0.303030303,2.505151515,-25
Rampage Jackson,2/25/2012,0,Light Heavyweight,MALE,1,1,13,-1,-1,5,12.475,-0.25,0.2375,0
Mark Hunt,2/25/2012,1,Heavyweight,MALE,-8,-4,-26,-6,-10,1,-14.13333333,0.133333333,0.517333333,25
Yoshihiro Akiyama,2/25/2012,0,Welterweight,MALE,0,1,1,-2,1,3,-1.41666667,0.25,1.913333333,0
Yushin Okami,2/25/2012,0,Middleweight,MALE,5,0,18,2,1,-1,-0.15384615,0.115384615,1.191538462,-15
Hatsu Hioki,2/25/2012,1,Featherweight,MALE,0,0,2,2,0,0,7,0,2,0
Anthony Pettis,2/25/2012,1,Lightweight,MALE,-7,-2,-12,0,1,-2,5.5,-1.318181818,2.516363636,15
Takanori Gomi,2/25/2012,1,Lightweight,MALE,1,3,7,0,1.88976378,-3,10.75,0,0,10
Norifumi Yamamoto,2/25/2012,0,Bantamweight,MALE,0,1,3,-2,0,5,-13.5,-2,0.06,10
Riki Fukuda,2/25/2012,1,Middleweight,MALE,-1,-3,-10,-2,-2,6,-12.6,-0.4,5.772,0
Takeya Mizugaki,2/25/2012,0,Bantamweight,MALE,0,0,-1,4,5,-2,-12,-0.333333333,1.363333334,10
Tiequan Zhang,2/25/2012,0,Featherweight,MALE,1,1,4,3,7,6,3,2,0,20
Diego Sanchez,2/15/2012,0,Welterweight,MALE,7,3,30,1,1,4,14.27083333,0.3125,0.698333333,0
Stefan Struve,2/15/2012,1,Heavyweight,MALE,5,3,12,7,8,-4,-40,1.888888889,-0.777777778,23
Aaron Simpson,2/15/2012,0,Middleweight,MALE,5,2,17,-1,-2,14,0.375,0.375,2.125,-15
Stipe Miocic,2/15/2012,1,Heavyweight,MALE,0,0,0,-1,-2,4,54,0,3.4,-10
TJ Dillashaw,2/15/2012,1,Bantamweight,MALE,-1,0,-3,-5,-2,-1,-26,-1,0,-10
Ivan Menjivar,2/15/2012,1,Bantamweight,MALE,1,1,6,-2,-4,4,4.66666667,0.666666667,0,10
Jonathan Brookins,2/15/2012,1,Featherweight,MALE,0,0,1,2,0,-3,-4.5,-2,1.43,-10
Anton Kuivanen,2/15/2012,0,Lightweight,MALE,0,0,0,0,2,-2,0,0,0,0
Tim Means,2/15/2012,1,Lightweight,MALE,0,0,0,5,10,-3,0,0,0,15
Nick Diaz,2/4/2012,0,Welterweight,MALE,3,3,16,-1,1,1,11.76363636,-0.109090909,0.931818182,15
Roy Nelson,2/4/2012,0,Heavyweight,MALE,1,0,4,-4,-5,1,-0.5,0,0.475,32
Josh Koscheck,2/4/2012,1,Welterweight,MALE,9,3,21,2,3,3,-22.18045113,-0.060150376,1.353759398,0
Renan Barao,2/4/2012,1,Bantamweight,MALE,0,0,0,1,4,-4,13,0.5,2,0
Ed Herman,2/4/2012,1,Middleweight,MALE,5,5,19,1,0,1,-2.72727273,0.909090909,1.181818182,20
Dustin Poirier,2/4/2012,1,Featherweight,MALE,3,0,8,-2,3,3,57,0.333333333,2,0
Alex Caceres,2/4/2012,0,Bantamweight,MALE,0,1,1,3,4,-4,5,-0.166666667,0,10
Matt Brown,2/4/2012,1,Welterweight,MALE,4,4,18,0,3,3,-7,1.4,0.8,0
Matthew Riddle,2/4/2012,1,Welterweight,MALE,5,3,23,6,6,-2,41.625,0.625,3.25,15
Rafael Natal,2/4/2012,1,Middleweight,MALE,1,2,9,0,3,7,28,0,2.333333333,0
Dan Stittgen,2/4/2012,0,Welterweight,MALE,0,0,0,1,-4.13385827,3,0,0,0,0
Rashad Evans,1/28/2012,1,Light Heavyweight,MALE,6,2,22,-2,-4,5,-14.35384615,-0.8,2.849538462,0
Chael Sonnen,1/28/2012,1,Middleweight,MALE,-7,1,-10,0,-1,2,-12.62222222,-0.111111111,2.93,20
Demian Maia,1/28/2012,0,Middleweight,MALE,6,3,24,-1,-6,7,0.33333334,0.416666666,1.21,-15
Evan Dunham,1/28/2012,1,Lightweight,MALE,0,-1,-6,2,2,3,1.92857143,-0.428571429,0.825357143,0
Mike Russow,1/28/2012,1,Heavyweight,MALE,3,-1,6,-5,-8.1023622,-1,-17.66666667,0.666666667,3.416666667,2
Cub Swanson,1/28/2012,1,Featherweight,MALE,-2,-3,-13,-5,-2,-2,-20.66666667,1,0.666666667,10
Charles Oliveira,1/28/2012,1,Featherweight,MALE,2,3,8,2,3.92125984,-5,16.8,1.2,0.6,10
Michael Johnson,1/28/2012,1,Lightweight,MALE,0,0,-1,0,1,-7,9.33333334,-0.666666667,0.223333333,-10
Joey Beltran,1/28/2012,0,Heavyweight,MALE,3,3,17,-3,-7,-4,61,0,0.5,-55
Chris Camozzi,1/28/2012,1,Middleweight,MALE,2,1,7,-2,-2,2,22.5,0.25,0,0
Melvin Guillard,1/20/2012,0,Lightweight,MALE,1,3,-4,1,-3,0,-8.61818182,-2.296969697,0.426666667,0
Duane Ludwig,1/20/2012,0,Welterweight,MALE,-1,-4,-15,-1,-2,5,8.90909091,-1.090909091,-0.067878788,0
Mike Easton,1/20/2012,1,Bantamweight,MALE,1,0,2,-2,3,4,31,0,0,0
Pat Barry,1/20/2012,1,Heavyweight,MALE,2,2,7,-7,-7,7,-4,-1,-0.72,-25
Jorge Rivera,1/20/2012,1,Middleweight,MALE,4,2,13,-2,-2,5,9.69642857,-1.053571429,0.30875,0
Kamal Shalorus,1/20/2012,0,Lightweight,MALE,0,1,3,-2,-2,16,26,0,1,0
Charlie Brenneman,1/20/2012,1,Welterweight,MALE,0,-1,0,0,-2,-1,8.333333333,-1.333333333,2.608333333,-15
Fabricio Camoes,1/20/2012,1,Lightweight,MALE,0,2,5,1,1,8,15,2,3,10
Daniel Pineda,1/20/2012,1,Featherweight,MALE,0,0,0,-1,0,3,0,0,0,0
Joseph Sandoval,1/20/2012,0,Bantamweight,MALE,0,1,1,0,-3.93700788,-3,0,0,0,0
Jose Aldo,1/14/2012,1,Featherweight,MALE,0,0,4,1,4,-1,27,0.5,1.8,0
Vitor Belfort,1/14/2012,1,Middleweight,MALE,2,2,2,-2,-4,7,-11.4,-0.071428571,0.115571429,-20
Rousimar Palhares,1/14/2012,1,Middleweight,MALE,4,-1,5,-6,-2,2,-5.475,0.5,1.275,-15
Erick Silva,1/14/2012,0,Welterweight,MALE,1,0,1,1,2,-3,4,0,0,15
Edson Barboza,1/14/2012,1,Lightweight,MALE,-3,-3,-10,-2,2,-1,26.88888889,-1.111111111,1.222222222,0
Thiago Tavares,1/14/2012,1,Lightweight,MALE,0,0,-2,-2,-2,0,-37.36363636,1.090909091,2.5,-10
Gabriel Gonzaga,1/14/2012,1,Heavyweight,MALE,7,5,20,-3,-3,5,15.25,0.666666667,1.083333333,37
Iuri Alcantara,1/14/2012,1,Featherweight,MALE,0,-4,-12,3,3,-5,-8.4,-1.6,5.52,-10
Ricardo Funch,1/14/2012,0,Welterweight,MALE,-4,-1,-11,-2,2,-5,-11.21428571,-1.142857143,0.28,0
Felipe Arantes,1/14/2012,1,Featherweight,MALE,0,1,3,-1,5,-9,29,0,0,-10
Brock Lesnar,12/30/2011,0,Heavyweight,MALE,4,2,11,-1,1,3,26,0.333333333,1.833333333,0
Nate Diaz,12/30/2011,1,Lightweight,MALE,5,5,24,-1,3,-2,-9.57142857,0.785714286,0.8125,15
Jon Fitch,12/30/2011,0,Welterweight,MALE,7,1,27,3,7,5,4.41904762,0.019047619,3.163809524,-15
Vladimir Matyushenko,12/30/2011,0,Light Heavyweight,MALE,3,2,15,-5,-5,16,3.8,-0.9,1.668,0
Nam Phan,12/30/2011,0,Featherweight,MALE,0,2,7,-3,-1,4,102.6666667,-1.666666667,-0.216666667,-10
Ross Pearson,12/30/2011,1,Featherweight,MALE,2,0,9,-1,-3,-3,30.33333333,-0.5,0.449166667,10
Anthony Njokuani,12/30/2011,0,Lightweight,MALE,-1,0,-1,4,4,-1,61,0,0.933333333,0
Dong Hyun Kim,12/30/2011,1,Welterweight,MALE,4,1,15,2,0,-5,-30.78571429,0.071428571,2.977857143,0
Jacob Volkmann,12/30/2011,1,Lightweight,MALE,1,0,3,0,1,6,-11.16666667,1.433333333,2.292666667,0
Manvel Gamburyan,12/30/2011,0,Featherweight,MALE,1,3,5,-1,0,1,-34.66666667,0.666666667,0.5,-10
Jon Jones,12/10/2011,1,Light Heavyweight,MALE,-1,-1,-8,3,10,-9,0.73737374,-0.06060606,1.799494949,20
Frank Mir,12/10/2011,1,Heavyweight,MALE,9,3,14,0,2,-3,-10.27777778,0.055555556,0.836666667,24
Tito Ortiz,12/10/2011,0,Light Heavyweight,MALE,13,8,51,1,-1,1,7.71,0.07,1.95,0
Claude Patrick,12/10/2011,0,Welterweight,MALE,1,0,4,-1,2,0,-3.83333333,0.5,2.416666667,0
Mark Hominick,12/10/2011,0,Featherweight,MALE,2,1,9,1,-4,5,6.25,-0.75,-0.25,0
Krzysztof Soszynski,12/10/2011,0,Light Heavyweight,MALE,4,-1,7,1,1,2,15.5,0.55,0.043,0
Jared Hamman,12/10/2011,0,Middleweight,MALE,1,1,3,4,2,-3,22.75,-0.5,0.17,0
John Makdessi,12/10/2011,0,Lightweight,MALE,-1,-5,-12,-1,-4,-10,52.75,-1.375,-0.29,0
Walel Watson,12/10/2011,0,Bantamweight,MALE,0,-1,-3,4,1,-5,-17.5,0,-0.165,0
Mark Bocek,12/10/2011,1,Lightweight,MALE,0,2,-1,0,7,3,-28.38095238,-0.523809524,2.192698413,0
Rich Attonito,12/10/2011,0,Welterweight,MALE,3,1,11,-2,-4,7,30.25,0,0.5,0
Mitch Clarke,12/10/2011,0,Lightweight,MALE,0,0,0,-1,1,-1,0,0,0,0
Michael Bisping,12/3/2011,1,Middleweight,MALE,11,2,28,0,3,2,30,0.357142857,1.34,0
Diego Brandao,12/3/2011,1,Featherweight,MALE,0,0,0,1,2,0,0,0,0,-10
TJ Dillashaw,12/3/2011,0,Bantamweight,MALE,0,0,0,3,1,-2,0,0,0,-10
Tony Ferguson,12/3/2011,1,Lightweight,MALE,-7,-5,-29,2,3,-8,0.92857143,-0.714285714,0.785714286,0
Louis Gaudinot,12/3/2011,0,Bantamweight,MALE,0,0,0,-7,-8,-1,0,0,0,-10
Marcus Brimage,12/3/2011,1,Featherweight,MALE,0,0,0,-5,-1.83464567,-3,0,0,0,-10
Dustin Pague,12/3/2011,0,Bantamweight,MALE,0,0,0,1,6,-1,0,0,0,0
Roland Delorme,12/3/2011,1,Bantamweight,MALE,0,0,0,4,5,4,0,0,0,10
Steven Siler,12/3/2011,1,Featherweight,MALE,0,0,0,5,2,-6,0,0,0,0
Bryan Caraway,12/3/2011,1,Featherweight,MALE,0,0,0,-1,-0.8976378,2,0,0,0,-10
Mauricio Rua,11/19/2011,0,Light Heavyweight,MALE,-1,1,-2,2,2,-12,-1.57142857,-0.285714285,0.377142857,20
Wanderlei Silva,11/19/2011,1,Middleweight,MALE,3,6,19,2,5,-4,20.11111111,0.111111111,0.222222222,20
Urijah Faber,11/19/2011,1,Bantamweight,MALE,-1,1,4,-1,-3,1,25.5,-0.5,0.5,0
Rick Story,11/19/2011,0,Welterweight,MALE,-2,-2,-1,-3,-1,-2,10.66666667,0.041666667,2.514166667,0
Stephan Bonnar,11/19/2011,1,Light Heavyweight,MALE,3,5,20,0,2,5,-11.98461538,0.923076923,0.726,0
Ryan Bader,11/19/2011,1,Light Heavyweight,MALE,2,-1,1,3,3,-8,-6.23809524,-0.714285714,1.914047619,0
Michael McDonald,11/19/2011,1,Bantamweight,MALE,2,0,6,1,-1,-7,41.5,1.5,3,0
Tom Lawlor,11/19/2011,0,Middleweight,MALE,1,2,8,-2,-4,1,5.4,0.7,1.79,20
Gleison Tibau,11/19/2011,1,Lightweight,MALE,5,2,15,2,1,1,-7.71428571,-0.285714286,3.735714285,-15
Miguel Torres,11/19/2011,1,Bantamweight,MALE,0,0,0,2,8,6,17,0.5,-0.635,0
Matt Brown,11/19/2011,0,Welterweight,MALE,4,3,15,-3,1,0,-4.16666667,-0.444444444,0.777777778,0
Danny Castillo,11/19/2011,1,Lightweight,MALE,0,0,0,0,-4,3,4.5,0,2.725,0
Cain Velasquez,11/12/2011,0,Heavyweight,MALE,0,0,-2,-3,0,2,-6.85714285,0.285714286,1.928571429,2
Clay Guida,11/12/2011,0,Lightweight,MALE,7,5,30,-2,0,2,-32.28571429,-0.357142857,2.410714286,-15
Dustin Poirier,11/12/2011,1,Featherweight,MALE,0,0,4,-4,-1,-6,62.5,-0.5,2.5,10
Cub Swanson,11/12/2011,0,Featherweight,MALE,-1,0,-1,0,-1,-1,-16,0,-0.33,0
DaMarques Johnson,11/12/2011,1,Welterweight,MALE,2,2,5,0,1,-2,-18.66666667,-0.666666667,0,0
Norifumi Yamamoto,11/12/2011,0,Bantamweight,MALE,0,1,3,-2,2,2,16,0,0,10
Alex Caceres,11/12/2011,1,Bantamweight,MALE,0,0,-2,3,1,-7,-21.5,0,0,10
Mike Pierce,11/12/2011,1,Welterweight,MALE,4,1,14,-1,-2.04724409,3,21.5,0.5,3.083333333,0
Aaron Rosa,11/12/2011,1,Light Heavyweight,MALE,0,1,3,3,5.16535433,-10,73,0,0,0
Chris Leben,11/5/2011,0,Middleweight,MALE,6,4,20,-1,2,-2,-4.38888889,0.069444444,0.582083333,0
Brad Pickett,11/5/2011,0,Bantamweight,MALE,-1,0,-3,0,-2,9,-46,0,-0.85,0
Thiago Alves,11/5/2011,1,Welterweight,MALE,10,5,36,-2,-4,-5,32.53333333,0.266666667,0.6,-15
Cyrille Diabate,11/5/2011,0,Light Heavyweight,MALE,1,-2,-1,3,6,-1,40,-0.25,0.203333333,0
Terry Etim,11/5/2011,1,Lightweight,MALE,5,2,17,0,3,-2,6.125,1.125,0.125,0
John Maguire,11/5/2011,1,Welterweight,MALE,-1,-1,-6,-1,-1,0,-41.5,-1,-0.25,0
Rob Broughton,11/5/2011,0,Heavyweight,MALE,1,1,6,-3,-8,3,44.5,3.5,0,15
Michihiro Omigawa,11/5/2011,1,Featherweight,MALE,0,3,9,-3,-5,10,-25.25,1.25,0.75,0
Chris Cope,11/5/2011,0,Welterweight,MALE,1,0,3,-1,-4,-1,66,0,0,0
Chris Cariaso,11/5/2011,1,Bantamweight,MALE,1,1,6,-3,-3,1,55.5,0,0.5,0
BJ Penn,10/29/2011,0,Welterweight,MALE,6,4,35,-4,-6,4,5.2,-0.6,0.954,-30
Cheick Kongo,10/29/2011,1,Heavyweight,MALE,4,5,19,1,3,3,-2.9,-0.585714286,1.571428571,-25
Mirko Cro Cop,10/29/2011,0,Heavyweight,MALE,2,3,12,2,1,2,1.05555556,0.333333333,0.097222222,-33
Scott Jorgensen,10/29/2011,1,Bantamweight,MALE,1,-1,-2,-1,-3,-5,6,-1,1,0
Hatsu Hioki,10/29/2011,1,Featherweight,MALE,-2,-3,-12,-2,-2,-1,-38.2,0,-0.2,10
Dennis Siver,10/29/2011,0,Lightweight,MALE,5,4,20,-7,-3,4,-18.41666667,-0.083333333,0.166666667,-10
Tyson Griffin,10/29/2011,0,Featherweight,MALE,8,5,34,-3,-2,-1,46.61538462,0.769230769,1.538461538,0
Brandon Vera,10/29/2011,1,Light Heavyweight,MALE,4,4,16,1,-1,3,7.44615385,-0.323076923,0.261538462,25
Ramsey Nijem,10/29/2011,1,Lightweight,MALE,0,0,-2,-1,3,-2,-20,-1,0,0
Chris Camozzi,10/29/2011,0,Middleweight,MALE,2,1,7,-1,-2,-6,46.66666667,0,0,-20
Dustin Jacoby,10/29/2011,0,Middleweight,MALE,0,0,0,4,1,-7,0,0,0,0
Frankie Edgar,10/8/2011,1,Lightweight,MALE,0,0,4,-3,-2,-3,29.5,-0.4,2.909,-10
Jose Aldo,10/8/2011,1,Featherweight,MALE,-11,-4,-32,-3,-4,-10,68.125,0.1875,4.555,0
Chael Sonnen,10/8/2011,1,Middleweight,MALE,-1,2,6,0,0,3,7.82142857,-0.303571429,3.25,0
Leonard Garcia,10/8/2011,0,Featherweight,MALE,2,1,6,4,-1,4,-44.4,0.1,0.4,10
Melvin Guillard,10/8/2011,0,Lightweight,MALE,3,1,6,-1,-3,1,5.21428571,-1.828571429,0.396571429,0
Demian Maia,10/8/2011,1,Middleweight,MALE,7,0,18,0,-2,3,7.43181818,0.431818182,1.409090909,0
Anthony Pettis,10/8/2011,1,Lightweight,MALE,-7,-4,-28,2,1,-1,-18.91666667,0.333333333,-0.404166667,25
Joey Beltran,10/8/2011,0,Heavyweight,MALE,3,2,14,-3,-5,0,62.8,0,0.4,-55
Tiequan Zhang,10/8/2011,0,Featherweight,MALE,-1,-1,-4,-2,-1,6,-22,1,-0.583333333,10
Aaron Simpson,10/8/2011,1,Middleweight,MALE,2,-2,5,-3,-2,3,20.57142857,-0.857142857,3.352857142,-15
Steve Cantwell,10/8/2011,0,Middleweight,MALE,0,0,2,0,2,-4,30.5,-1,0.085,0
Dominick Cruz,10/1/2011,1,Bantamweight,MALE,-1,0,-1,5,2,1,64.5,0,3.17,10
Pat Barry,10/1/2011,0,Heavyweight,MALE,-2,0,-1,-12,-10,9,6.5,-2,-0.25,-30
Anthony Johnson,10/1/2011,1,Welterweight,MALE,3,2,6,4,6,-3,1.69444444,0.555555556,0.931944444,50
Matt Wiman,10/1/2011,1,Lightweight,MALE,3,0,8,2,-2,-3,3.5,0.863636364,1.58375,0
Yves Edwards,10/1/2011,1,Lightweight,MALE,7,2,18,1,2,6,-4.73076923,-0.230769231,-0.047307692,0
Michael Johnson,10/1/2011,0,Lightweight,MALE,0,1,3,-2,0,2,26.5,-4,0.5,-10
Mike Easton,10/1/2011,1,Bantamweight,MALE,0,0,0,-2,1,-1,0,0,0,0
Shane Roller,10/1/2011,0,Lightweight,MALE,-2,-2,-13,0,0,5,-15.5,-0.166666667,-0.323333333,0
Josh Neer,10/1/2011,1,Welterweight,MALE,4,5,22,-1,-3,-1,15.3,1.1,0.3,0
Walel Watson,10/1/2011,1,Bantamweight,MALE,0,0,0,4,2.85826772,2,0,0,0,0
Jon Jones,9/24/2011,1,Light Heavyweight,MALE,0,-1,-10,3,11,-9,-2.04166667,0.5,1.992222222,0
Matt Hughes,9/24/2011,0,Welterweight,MALE,5,1,10,-1,0,4,3.875,0.277777778,1.427222222,0
Ben Rothwell,9/24/2011,0,Heavyweight,MALE,0,0,2,6,6,-8,15.5,1,2,0
Travis Browne,9/24/2011,1,Heavyweight,MALE,1,1,2,4,5,1,-47.66666667,-5.666666667,1,-10
Nate Diaz,9/24/2011,1,Lightweight,MALE,7,3,24,5,6,-7,17.53846154,1.153846154,1.076923077,15
Tony Ferguson,9/24/2011,1,Lightweight,MALE,-2,-4,-15,3,7,-3,-18.57142857,-0.142857143,1.675714286,0
Nick Ring,9/24/2011,0,Middleweight,MALE,-2,-3,-9,0,0,2,22.92857143,0.214285714,2.285714286,0
Junior Assuncao,9/24/2011,1,Featherweight,MALE,1,2,4,2,3.1023622,-2,12.33333333,0.666666667,0.333333333,0
Takeya Mizugaki,9/24/2011,1,Bantamweight,MALE,1,0,3,0,-4,-3,-0.5,0,2,0
James Te Huna,9/24/2011,1,Light Heavyweight,MALE,0,0,1,2,-1,-4,4,-0.5,2.93,-20
Jake Shields,9/17/2011,0,Welterweight,MALE,-3,0,-4,3,1,6,28.5,-0.6,1.188,0
Court McGee,9/17/2011,1,Middleweight,MALE,1,-1,0,1,4,0,-13,0,2.7,-15
Jonathan Brookins,9/17/2011,0,Featherweight,MALE,0,0,2,2,2,4,28,0,3,-10
Alan Belcher,9/17/2011,1,Middleweight,MALE,1,-2,2,-1,-7,-9,15.96212122,-0.462121212,0.170303031,0
Cody McKenzie,9/17/2011,0,Lightweight,MALE,1,0,0,2,-1,-6,-38,1,1.36,0
Evan Dunham,9/17/2011,1,Lightweight,MALE,3,2,11,1,-5,1,0,1.666666667,0.783333333,0
Matthew Riddle,9/17/2011,0,Welterweight,MALE,5,2,20,2,1,2,43.85714286,0.714285714,3.142857143,0
Ken Stone,9/17/2011,1,Bantamweight,MALE,0,0,-2,-1,0.13385827,-3,-13,-2,0,0
Clay Harvison,9/17/2011,0,Welterweight,MALE,1,-1,0,-2,0,1,35,-1,1,0
TJ Waldburger,9/17/2011,1,Welterweight,MALE,1,1,4,1,4,-2,20,3.5,3,0
Robert Peralta,9/17/2011,1,Featherweight,MALE,0,-1,-3,0,0.92125984,-7,-12,-1,0,0
Justin Edwards,9/17/2011,1,Welterweight,MALE,0,1,3,0,-2.04724409,6,42,0,7,-15
Anderson Silva,8/27/2011,1,Middleweight,MALE,3,-2,-4,0,2,6,0.69871795,-0.205128205,-0.194230769,15
Mauricio Rua,8/27/2011,1,Light Heavyweight,MALE,-6,-1,-17,-2,-1,-3,-17.96153846,-0.282051282,0.774615385,0
Ross Pearson,8/27/2011,0,Lightweight,MALE,2,1,7,-3,-6,1,9.9,0,-0.2,0
Minotauro Nogueira,8/27/2011,1,Heavyweight,MALE,-1,1,3,-1,-1,7,-3.4,1.2,1.1,-5
Luiz Cane,8/27/2011,0,Light Heavyweight,MALE,4,3,10,3,6,1,26.85714286,0,0.142857143,-20
Thiago Tavares,8/27/2011,1,Lightweight,MALE,-4,-1,-12,0,-2,-9,-18.03333333,0.633333333,2.413333333,-10
Rousimar Palhares,8/27/2011,1,Middleweight,MALE,0,-2,-9,-5,-3,1,-10.3968254,0.492063492,1.301428571,-15
Paulo Thiago,8/27/2011,1,Welterweight,MALE,3,2,12,-1,-3,-1,4.33333333,-4.166666667,0.006666667,0
Raphael Assuncao,8/27/2011,1,Bantamweight,MALE,0,1,1,-2,-5,-4,9,0,0,0
Erick Silva,8/27/2011,1,Welterweight,MALE,0,0,0,4,1.95275591,-3,0,0,0,0
Iuri Alcantara,8/27/2011,1,Featherweight,MALE,0,0,0,1,-2,8,0,0,0,0
Yves Jabouin,8/27/2011,1,Bantamweight,MALE,-1,0,-5,-1,-2.07874016,5,-28.5,0,0,-10
Dan Hardy,8/14/2011,0,Welterweight,MALE,-5,-7,-26,1,6,-7,-13.51127819,-1.150375939,0.005714286,0
Jim Miller,8/14/2011,0,Lightweight,MALE,8,1,22,-1,1,0,-29,2,1.05,-15
Donald Cerrone,8/14/2011,1,Lightweight,MALE,0,-2,-2,3,-1,7,43,-1,1.32,0
Amir Sadollah,8/14/2011,0,Welterweight,MALE,2,0,7,0,4,-3,27.08571429,0.285714286,0.571428571,0
CB Dollaway,8/14/2011,0,Middleweight,MALE,4,1,5,-1,1,-1,-41.33333333,0.875,1.416666667,0
Joseph Benavidez,8/14/2011,1,Bantamweight,MALE,1,-1,0,-3,-4,0,37,0,4.67,-10
Ed Herman,8/14/2011,1,Middleweight,MALE,2,5,16,0,1,-1,-0.93333333,-0.3,1.716666667,35
Ronny Markes,8/14/2011,1,Light Heavyweight,MALE,-1,-1,-4,1,0,-3,-17,-0.5,-0.5,0
Jimy Hettes,8/14/2011,1,Featherweight,MALE,0,-1,-1,-1,-2,1,-2,0,0,0
Cole Miller,8/14/2011,1,Lightweight,MALE,6,2,15,-1,-3.16535433,3,-15.44444444,2,-0.666666667,-10
Jacob Volkmann,8/14/2011,1,Lightweight,MALE,2,2,10,0,0,-1,-36,1,2.15,0
Edwin Figueroa,8/14/2011,1,Bantamweight,MALE,0,-1,1,1,4.82677165,-14,43.5,0,0,0
Rashad Evans,8/6/2011,1,Light Heavyweight,MALE,-5,-7,-27,-3,1,-5,-3.91666666,-0.291666667,3.142083334,0
Vitor Belfort,8/6/2011,1,Middleweight,MALE,7,3,10,2,1,-2,-34.69230769,0.128205129,-0.121794871,15
Dennis Hallman,8/6/2011,0,Welterweight,MALE,2,4,14,-3,-1,5,-21.42857143,0.428571429,0.642857143,-15
Jorge Rivera,8/6/2011,0,Middleweight,MALE,7,5,22,2,0,8,3.69230769,0.076923077,0.461538462,0
Rory MacDonald,8/6/2011,1,Welterweight,MALE,-2,-1,-8,0,2,-13,1.5,-0.666666666,3.826666667,0
Matt Hamill,8/6/2011,0,Light Heavyweight,MALE,6,2,21,-4,-3,10,23.33333333,-1.25,1.543333333,0
Chad Mendes,8/6/2011,1,Featherweight,MALE,0,0,0,0,-1,0,16,-2,3.73,10
Ivan Menjivar,8/6/2011,1,Bantamweight,MALE,0,1,1,-1,-4,5,-10,0,-0.77,10
Johny Hendricks,8/6/2011,1,Welterweight,MALE,1,0,-1,1,-1,-3,-6,0.233333333,2.94,15
Mike Brown,8/6/2011,1,Featherweight,MALE,0,2,4,0,0,7,-70,-1,2,10
Rafael Natal,8/6/2011,1,Middleweight,MALE,0,2,6,3,3.95275591,0,20.5,0,3.5,15
Dominick Cruz,7/2/2011,1,Bantamweight,MALE,-1,0,-3,2,1,-6,-49,0,-0.18,0
Wanderlei Silva,7/2/2011,0,Middleweight,MALE,-8,-1,-18,0,0,4,-5.39705882,-0.345588235,-0.136470588,20
Dennis Siver,7/2/2011,1,Lightweight,MALE,0,1,1,-4,2,5,1.22727273,-1.027272727,-0.150363636,-10
Tito Ortiz,7/2/2011,1,Light Heavyweight,MALE,9,8,43,1,0,8,-0.0942029,-0.072463768,1.997826087,0
Carlos Condit,7/2/2011,1,Welterweight,MALE,-2,0,-8,0,-1,-2,9,0.583333333,0.415,0
Melvin Guillard,7/2/2011,1,Lightweight,MALE,8,4,20,-1,-4,-3,-7.69230769,0.076923077,1,0
George Sotiropoulos,7/2/2011,0,Lightweight,MALE,4,-2,1,2,1,7,-4.125,0.166666667,1.483333333,-15
Brian Bowles,7/2/2011,1,Bantamweight,MALE,0,0,-2,0,2,4,-24,1,0,0
Brad Tavares,7/2/2011,0,Middleweight,MALE,-2,-2,-10,1,1,-13,-17,-0.166666667,0.94,15
Anthony Njokuani,7/2/2011,1,Lightweight,MALE,-2,-2,-8,2,2,2,41.2,0,1,0
Jeff Hougland,7/2/2011,1,Bantamweight,MALE,0,0,0,-2,-2.86614173,1,0,0,0,0
Cheick Kongo,6/26/2011,1,Heavyweight,MALE,5,3,18,5,8,5,14.58461538,0.230769231,1.692307692,5
Charlie Brenneman,6/26/2011,1,Welterweight,MALE,-4,0,-11,1,1,4,-21.47619047,-1.285714286,3.03952381,-15
Matt Brown,6/26/2011,1,Welterweight,MALE,0,2,1,5,4,2,7,0.708333333,-0.061666667,0
Christian Morecraft,6/26/2011,0,Heavyweight,MALE,-3,1,-4,3,2,-8,-8.5,0.5,1,-5
Tyson Griffin,6/26/2011,1,Featherweight,MALE,5,2,23,1,1,-3,35.31666667,0.033333333,1.470666667,10
Joe Stevenson,6/26/2011,0,Featherweight,MALE,8,7,33,0,1,-4,18.66666667,1.533333333,2.066666667,0
Joe Lauzon,6/26/2011,1,Lightweight,MALE,5,2,10,-2,-2,-3,-18.38888889,1,1.327777778,0
Daniel Roberts,6/26/2011,0,Welterweight,MALE,1,1,1,0,2,-4,-13.73333333,1.4,1.89,0
Ricardo Lamas,6/26/2011,1,Featherweight,MALE,-1,-3,-6,0,1,0,-25.75,-0.25,-0.5,0
Michael Johnson,6/26/2011,1,Lightweight,MALE,0,1,3,0,3,-1,30,0,0,-10
Shane Carwin,6/11/2011,0,Heavyweight,MALE,-2,1,-4,-2,3,9,-19.96666667,0,0.116666667,27
Kenny Florian,6/11/2011,1,Featherweight,MALE,10,4,31,4,7,7,-40.2,0.8,1.4,0
Mark Munoz,6/11/2011,1,Middleweight,MALE,-3,0,-9,-1,0,0,12.34285714,-0.814285714,0.454142857,15
